source_file,path,ticker,provider,date_min,date_max,linhas,asset_class,exchange
vale3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\vale3_sa_1d.parquet,VALE3,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
vivt3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\vivt3_sa_1d.parquet,VIVT3,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
wege3_sa_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\wege3_sa_1d.parquet,WEGE3,investing,2012-01-02,2025-09-19,3409,B3_EQUITY,B3
dx-y_nyb_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\dx-y_nyb_1d.parquet,DX-YNYB,yahoo,2012-01-03,2025-09-19,3450,DOLLAR,US
ewz_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\ewz_1d.parquet,EWZ,yahoo,2012-01-03,2025-09-19,3449,ETF,US
bz=f_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\bz=f_1d.parquet,BZ=F,yahoo,2012-01-03,2025-09-19,3432,OIL,US
_tnx_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\_tnx_1d.parquet,TNX,yahoo,2012-01-03,2025-09-19,3448,RATE,US
_bvsp_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\_bvsp_1d.parquet,BVSP,yahoo,2012-01-03,2025-09-19,3400,US_INDEX,US
_gspc_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\_gspc_1d.parquet,GSPC,yahoo,2012-01-03,2025-09-19,3449,US_INDEX,US
_vix_1d.parquet,G:\Drives compartilhados\BOLSA_2026\a_bolsa2026_gemini\00_data\02_adequado\_vix_1d.parquet,VIX,yahoo,2012-01-03,2025-09-19,3449,VOL,US
